id,long,lat
72D-P,-1.374951,50.938625
72E-Q,-1.374581,50.938484
72E-R,-1.374367,50.938183
72F-S,-1.375544,50.938591
72G,-1.374106,50.937477
73A,-1.4029587,50.943379
73B,-1.4032985,50.9434045
73B1,-1.400848,50.94405
73B2,-1.400848,50.94405
73B3,-1.400848,50.94405
73B4,-1.400848,50.94405
73C,-1.4032123,50.9436282
73D,-1.4024566,50.9439382
73E,-1.4021067,50.9438934
73F,-1.402203,50.9436793
73G,-1.4018785,50.9436666
73H,-1.4020052,50.9441011
73J,-1.401488,50.943919
73K,-1.4009757,50.9432479
73L,-1.4006309,50.9437049
73M,-1.3998397,50.9437017
73N-A,-1.402854,50.94236
73N-B,-1.402854,50.94236
73N-C,-1.402854,50.94236
73N-D,-1.402854,50.94236
73N-E,-1.402854,50.94236
73N-F,-1.402854,50.94236
73N-G,-1.402854,50.94236
73N-H,-1.402854,50.94236
73N-J,-1.402854,50.94236
73N-K,-1.402854,50.94236
73Q1,-1.402873,50.943848
73Q2,-1.402873,50.943848
73R,-1.404631,50.9434354
73S,-1.401352,50.944126
73T,-1.3994289,50.9431457
73W,-1.4031058,50.9431776
73X-Q,-1.4026798,50.9429667
73X-R,-1.4023501,50.9429188
73X-S,-1.4021625,50.9427239
73X-T,-1.4022081,50.9424938
75A,-1.4018216,50.9298947
75C,-1.402665,50.9301743
76A,-1.3784044,50.937321
76B,-1.3778009,50.9376576
76C,-1.377127,50.937645
76D,-1.376708,50.937752
76E,-1.376204,50.937859
76F,-1.37733,50.938011
76G,-1.376933,50.938107
76H,-1.376402,50.938232
76J,-1.377561,50.938339
76K,-1.376944,50.938484
76L,-1.376306,50.938629
76M,-1.377389,50.938606
76N,-1.376751,50.938763
76P,-1.377196,50.938877
76Q,-1.376536,50.939026
76R,-1.376976,50.939156
76S,-1.376349,50.939289
76SC,-1.3780581,50.9380566
76T,-1.376783,50.939426
76U,-1.3780779,50.9383121
76V,-1.3781373,50.937561
76W,-1.3779839,50.9372773
76X,-1.3784588,50.9370062
76Z,-1.376976,50.937473
78A,-1.376944,50.936687
78B,-1.377465,50.936699
78C,-1.377534,50.936543
78E,-1.3759936,50.9373466
79A,-1.402425,50.940872
79B,-1.401899,50.940411
79C,-1.401371,50.940643
81A,-1.3907157,50.945967
81B,-1.3904644,50.9458051
81C,-1.390787,50.945606
81D,-1.3909756,50.9458246
81E,-1.3911761,50.9456236
82A,-1.4077298,50.9169714
82B,-1.4098021,50.9157541
94A,-1.380039,50.934563
94B,-1.380039,50.934563
94C,-1.3807397,50.9337771
94F,-1.380549,50.934185
94G,-1.380509,50.934058
94H,-1.380648,50.934078
193,103.61218,1.42987
